epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,405.731,1.86538,5.95824,0.00403,0.78152,0.6524,0.72151,0.39664,1.82748,1.37522,0.0043,0.00998387,0.00332796,0.00998387,0.00332796,0.00998387,0.00332796,0.00998387,0.00332796
2,781.46,1.78979,1.25675,0.00374,0.8213,0.6816,0.75933,0.38393,1.9047,1.28856,0.00475,0.0195882,0.0065294,0.0195882,0.0065294,0.0195882,0.0065294,0.0195882,0.0065294
3,1154.6,1.84812,1.21061,0.00391,0.84509,0.60905,0.68515,0.33058,2.11387,1.80258,0.00524,0.0287965,0.00959884,0.0287965,0.00959884,0.0287965,0.00959884,0.0287965,0.00959884
4,1527.75,1.84552,1.16016,0.00393,0.89058,0.72534,0.80705,0.44404,1.75785,1.1008,0.00422,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,1897.37,1.76721,1.03303,0.00368,0.89585,0.76325,0.83452,0.46468,1.73305,0.98196,0.00412,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,2266.53,1.71993,0.96994,0.00354,0.84563,0.72783,0.7946,0.44566,1.75304,1.15797,0.00409,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,2624.08,1.69047,0.91929,0.00345,0.92566,0.81197,0.87332,0.5022,1.64622,0.87316,0.00382,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,2981.41,1.67071,0.87119,0.00338,0.92718,0.80825,0.86781,0.51374,1.62845,0.87007,0.0037,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,3339.83,1.65378,0.85628,0.00335,0.92449,0.83469,0.8886,0.54379,1.54114,0.82584,0.00343,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,3698.16,1.62873,0.8259,0.00325,0.93541,0.83532,0.89411,0.55087,1.50421,0.7705,0.00335,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
